%Time	Paddle Displacement	LC1	LC2	WG0	WG1	WG2	WG3
31/08/2023 14.33.18.35888	0.772696	-0.52121	0.303253	-295.556	14.1134	17.0285	12.8892
31/08/2023 14.33.18.40937	0.772681	3.70972	1.62242	-286.156	5.85886	16.6393	13.5597
31/08/2023 14.33.18.45937	0.772724	3.02975	1.41386	-277.538	-4.4576	13.751	13.7565
31/08/2023 14.33.18.50937	0.772442	1.24246	0.838806	-267.926	-14.1717	7.1049	13.399
31/08/2023 14.33.18.55937	0.772611	-0.551239	0.18631	-263.098	-22.3851	-1.5123	10.7379
31/08/2023 14.33.18.60937	0.772694	0.533661	0.555008	-262.504	-27.2982	-11.6357	5.6532
31/08/2023 14.33.18.65937	0.772722	3.54587	1.50652	-264.18	-30.2754	-20.7882	-0.782593
31/08/2023 14.33.18.70962	0.772685	0.499969	0.399841	-273.115	-31.2306	-28.6363	-7.85904
31/08/2023 14.33.18.75962	0.772445	-0.159943	0.300934	-289.041	-30.301	-33.2549	-14.6847
31/08/2023 14.33.18.80962	0.772665	0.873657	0.64241	-304.283	-25.8998	-34.6724	-21.4302
31/08/2023 14.33.18.85962	0.772739	0.485138	0.411514	-320.57	-17.7038	-33.949	-26.6686
31/08/2023 14.33.18.90962	0.772699	-0.0961304	0.276382	-335.435	-8.66214	-28.4565	-29.9989
31/08/2023 14.33.18.95962	0.772539	2.83057	1.22839	-342.248	1.30867	-18.1356	-31.5181
31/08/2023 14.33.19.00962	0.772551	1.83936	0.932541	-345.943	10.9909	-6.85397	-31.5466
31/08/2023 14.33.19.05962	0.772699	2.62653	1.27074	-345.628	19.0668	4.509	-27.1842
31/08/2023 14.33.19.10962	0.772691	1.759	0.992004	-343.394	25.497	14.3912	-16.481
31/08/2023 14.33.19.15962	0.772724	2.34518	1.27177	-322.078	29.2769	22.6077	-2.32695
31/08/2023 14.33.19.20962	0.772437	-0.492096	0.221207	-298.311	29.6245	27.8339	12.5363
31/08/2023 14.33.19.25962	0.772641	-1.2121	-0.0562134	-282.191	28.5022	30.4247	25.4322
31/08/2023 14.33.19.30987	0.772652	-1.21939	0.0307159	-272.777	23.0234	31.2893	34.181
31/08/2023 14.33.19.35987	0.772736	0.150208	0.297256	-267.555	15.8127	30.9394	38.7598
31/08/2023 14.33.19.40987	0.772657	-0.110291	0.44046	-266.156	9.85725	27.2371	40.1616
31/08/2023 14.33.19.45987	0.772456	3.13315	1.60623	-267.256	4.17439	20.3463	39.3306
31/08/2023 14.33.19.50987	0.772668	-0.703766	0.381973	-273.506	-1.1758	11.4946	33.556
31/08/2023 14.33.19.55987	0.77272	0.704559	0.727478	-280.954	-6.26781	3.25772	24.689
31/08/2023 14.33.19.61037	0.772727	-0.784943	0.149002	-292.736	-10.7808	-3.67941	14.9236
31/08/2023 14.33.19.66037	0.772556	-2.55295	-0.284378	-303.896	-14.8609	-8.97458	5.31053
31/08/2023 14.33.19.71087	0.772536	-1.40234	-0.046875	-311.017	-18.0792	-13.0121	-3.93768
31/08/2023 14.33.19.76087	0.772716	-0.0275269	0.414291	-317.41	-20.299	-16.1727	-11.5618
31/08/2023 14.33.19.81137	0.772655	-0.406738	0.253967	-321.15	-21.2947	-18.3983	-17.5611
31/08/2023 14.33.19.86137	0.772713	-1.60483	0.0379028	-322.631	-21.5179	-20.1803	-21.4508
31/08/2023 14.33.19.91137	0.77254	-2.71072	-0.3918	-322.573	-19.6948	-21.1932	-22.9957
31/08/2023 14.33.19.96137	0.772548	-1.06717	0.0332642	-320.636	-13.9804	-21.5037	-23.6109
31/08/2023 14.33.20.01262	0.772708	0.305176	0.489838	-319.007	-5.53757	-21.0684	-23.4394
31/08/2023 14.33.20.06262	0.772705	0.71875	0.817612	-311.769	2.7166	-17.9955	-22.3995
31/08/2023 14.33.20.11262	0.772668	2.04352	1.21588	-304.928	9.93394	-11.0417	-19.8702
31/08/2023 14.33.20.16262	0.772453	1.75577	1.27109	-300.883	14.6078	-2.25885	-15.8495
31/08/2023 14.33.20.21312	0.772678	1.18076	1.00589	-297.77	15.8561	6.3638	-10.8264
31/08/2023 14.33.20.26312	0.772719	-0.693146	0.197083	-293.13	15.8578	13.0679	-5.70729
31/08/2023 14.33.20.31337	0.772649	0.268555	0.293945	-291.701	13.8762	18.02	-0.00317383
31/08/2023 14.33.20.36337	0.772665	1.96231	1.20009	-291.524	9.39735	19.8864	6.25536
31/08/2023 14.33.20.41337	0.772487	-0.255463	0.38443	-293.106	3.27167	20.0457	12.5458
31/08/2023 14.33.20.46337	0.772665	0.654297	0.694122	-294.607	-2.54842	17.3108	17.7772
